original,translated
"""Acute, but ill-defined, cerebrovascular disease""","""Bệnh mạch máu cấp tính, nhưng không rõ ràng,"""
Coma,Hôn mê
Activities involving golf,Các hoạt động liên quan đến golf
Kuru,Kuru
Pica,Pica
Rape,Hãm hiếp
Activities involving yoga,Các hoạt động liên quan đến yoga
Apnea,Ngưng thở
"""Cardiovascular disease, unspecified""","""Bệnh tim mạch, không xác định"""
Colic,Đau bụng
Cough,Ho
Croup,Nang
Edema,Phù
Felon,Tội phạm
Activities involving rugby,Các hoạt động liên quan đến bóng bầu dục
Ainhum,AINHUM
Alexia,Alexia
"""Other late effects of cerebrovascular disease, ataxia""","""Những ảnh hưởng muộn khác của bệnh mạch máu não, mất điều hòa"""
Activities involving boxing,Các hoạt động liên quan đến quyền anh
Bunion,Búi tóc
Cowpox,Beo biển
Dengue,Sốt xuất huyết
Myopia,Cận thị
Pallor,Xanh xao
Rabies,Bệnh dại
Sepsis,Nhiễm trùng huyết
Activities involving sewing,Các hoạt động liên quan đến may vá
Activities involving soccer,Các hoạt động liên quan đến bóng đá
Tetany,Tetany
Candidiasis of mouth,Candida của miệng
Aphakia,Aphakia
Aphasia,Chứng mất ngôn ngữ
Aphonia,Aphonia
Activities involving bowling,Các hoạt động liên quan đến bowling
"""Congestive heart failure, unspecified""","""Suy tim sung huyết, không xác định"""
Activities involving dancing,Các hoạt động liên quan đến khiêu vũ
Dysuria,Chứng khó đọc
Activities involving frisbee,Các hoạt động liên quan đến Frisbee
Gangosa,Gangosa
Hyphema of iris and ciliary body,Hyphema của mống mắt và cơ thể đường mật
Activities involving ironing,Các hoạt động liên quan đến ủi
Activities involving laundry,Các hoạt động liên quan đến đồ giặt
Loiasis,Loiasis
Lumbago,LUMBAGO
Myiasis,Myiasis
Activity involving pilates,Hoạt động liên quan đến Pilates
Prurigo,Ngứa
Puberty,Tuổi dậy thì
Q fever,Q Sốt
Rosacea,Bệnh trứng cá đỏ
Activities involving running,Các hoạt động liên quan đến chạy
Scabies,Bệnh ghẻ
Sealpox,HEALPOX
Stridor,Stridor
Sunburn,Cháy nắng
Tanapox,Tanapox
Tetanus,Uốn ván
"""Other late effects of cerebrovascular disease, vertigo""","""Tác dụng muộn khác của bệnh mạch máu não, Vertigo"""
Acidosis,Nhiễm toan
Other acne,Mụn trứng cá khác
Aglossia,Aglossia
Alastrim,Alastrim
Aniridia,Aniridia
Anorexia,Chán ăn
Asphyxia,Ngũ chứng
Bandemia,Bandemia
